name,headline,year,product,category,subject,publication,medium,format,link,description,location,company
Sweet Caporal: Actresses - Image 11,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Mlle. Demongey', 'Mlle. Deanville', 'Emma Abbott', 'Mlle. Donskoi', 'Ida Bell', 'Amelia Clover', 'Mlle. Coetz', 'Mlle. Coural",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4mw2b447,,,Kinney Bros.
Sweet Caporal: Actresses - Image 12,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Mlle. Couralet', 'Mlle. Geraldine', 'Miss Deering', 'Belle Archer', ""Mlle. D'Anjou"", 'Mlle. Coe', 'Miss Durand', ""Camille D'Arville""",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4n011j6t,,,Kinney Bros.
Sweet Caporal: Actresses - Image 13,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Elvia Crox', 'Edith Ainsworth', 'Alice Dufresne', ""Camille D'Arville"", 'Lizzie McNichol', 'Mlle. Marriott', 'Mlle. Crocette', 'Miss Constance Oilchrist",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4qb9wv88,,,Kinney Bros.
Sweet Caporal: Actresses - Image 14,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Sibyl Johnstone', 'Gretchen Doerk', 'Mlle. Amzi', 'Mabel Love', 'Carrie Lawson', 'Annie Lewis', 'Mlle. Couralet', 'Mlle. Daireau",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4p26rv6f,,,Kinney Bros.
Sweet Caporal: Actresses - Image 15,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Davenport Sisters', 'Mlle. Dimitri', ""Mlle. D'Anjo"", 'Verona Jarbeau', 'Annie Lewis', 'Corinne",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4rr1rc59,,,Kinney Bros.
Sweet Caporal: Actresses - Image 16,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Mlle. Rordame', 'Mlle. Ascenseur', 'Mlle. Zampa', 'Mlle. Basco', 'and Pacurd",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4cc0wm8z,,,Kinney Bros.
Sweet Caporal: Actresses - Image 17,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Miss Gale', 'Mlle Rordame', 'Dorothy Morton', 'Theresa Vaughn', 'and Rosita",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4mc8t68z,,,Kinney Bros.
Sweet Caporal: Actresses - Image 18,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Lillian Russell', 'Gladday Virvian', 'Rosita', 'Daisy Murdock', 'Miss Praeger', 'and Clara Poole",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4rf5n59q,,,Kinney Bros.
Sweet Caporal: Actresses - Image 19,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Lola Yberri', 'Mlle Nordru', 'Mlle Geraldine', 'Fannie Batchelder', 'Miss Woodford', 'and Miss Vernon",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4nz82f9n,,,Kinney Bros.
Sweet Caporal: Actresses - Image 2,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Edith Hyman, Ellaline Terriss, Mlle. Theresine, Virginia Harned, Mlle. Guenin, Eva Selbie, Agnes Hunington, Flora Henderson.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4st7gp8r,,,Kinney Bros.
Sweet Caporal: Actresses - Image 20,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Ruhende Bajadere', 'May Waldron', 'Mlle, Nordrum', 'Kate Uart', 'Mrs Brown Potter', 'and Mlle Raige",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4v11x885,,,Kinney Bros.
Sweet Caporal: Actresses - Image 3,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Julia Arthur, Wallie Eddinger, Mlle. Saracco, Isabelle Irving, Mlle. Mayer, Louise Eissing, Lilie Sinclair.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4w08z67t,,,Kinney Bros.
Sweet Caporal: Actresses - Image 4,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Mlle. Sorel, Mlle. Elza, Mlle. Dutramel, Alma Earle, Elise Gray, Mabel Santley, Mlle. Ben Sai, Marie Tempest.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4z60ds22,,,Kinney Bros.
Sweet Caporal: Actresses - Image 5,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Mrs. St. Henry, Saroltat, Mlle. Ilbert, Sadie Martinot, Edith Hyman, Sophie Elliot, Mlle. Stocbette.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r40r9nx6x,,,Kinney Bros.
Sweet Caporal: Actresses - Image 6,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Miss Phyllis Broughton, Miss Fortescue, Lillian Kennedy, Mlle. Carmen, Mable Clark, Marie Burroughs, Mrs. Carlington.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4k64ch44,,,Kinney Bros.
Sweet Caporal: Actresses - Image 7,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Helen Bertram, Trix Friganza, Loe Fuller, Mlle. Bianc, Voly De Menisto, Miss Cale, Florence Chester, Verbotene Fruchte.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4pv6d14h,,,Kinney Bros.
Sweet Caporal: Actresses - Image 8,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Miss Benney, Marie Burroughs, Loie Fuller, Mlle. Boso, Mlle. Boyer, Della Fox.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4bn9zs7d,,,Kinney Bros.
Sweet Caporal: Actresses - Image 9,,unknown,Sweet Caporal Cigarettes,Tobacco Advertising,"Actors/Actresses', 'Famous People--Miss A. Boyd, Miss Carlton, Miss Langton, Bessie Bonehill, Miss Benyer, Loie Fuller, Carmencita, Miss Benney.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4rj4bj64,,,Kinney Bros.
Sweet Home Soap,Sweet Home Soap,unknown,"Soap - ""Sweet Home"" Family",Advertising Ephemera Collection,"Children', 'Household Appliances",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4n29qx6r,,,J. S. Larkin & Co.
Swift's Premium Hams and Bacon,Swift's Premium Hams and Bacon,unknown,Meat,"J. Walter Thompson Company ""House Ads"" (1899-1925)",,JWT Ad Portfolio,other,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4rv0fr4p,,,"Swift & Co.', 'J. Walter Thompson Company"
Switch  -it's on  -it's off,Switch  -it's on  -it's off,unknown,Generator,Advertising Ephemera Collection,"Price List', 'Lighting",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4pc2w19c,,,Rumely Products Company
Syrup of Figs,Syrup of Figs,unknown,Syrup of Figs,Advertising Ephemera Collection,Food,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4rf5n48s,,,California Fig Syrup Co.
Syrup of Figs--Nature's Pleasant Laxative,Syrup of Figs--Nature's Pleasant Laxative,unknown,Laxatives,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r44j0cm4c,"includes image of Yosemite Falls, CA.",,California Fig Syrup Co.
System Applied to Banking,System Applied to Banking,unknown,Home Savings Bank System,Advertising Ephemera Collection,Banking and Financial,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4319ts5d,,,W. F. Burns Co.
"T. W. & J. A. Yost, Manufacturers of Children's Carriages, Wheelbarrows, Sleighs, &c.","T. W. & J. A. Yost, Manufacturers of Children's Carriages, Wheelbarrows, Sleighs, &c.",unknown,"carriages, wheelbarrows, sleighs",Advertising Ephemera Collection,"Carriages, Buggies, etc.",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4h41mb1w,appears to be embossed.,,T. W. & J. A. Yost
Taking a back seat,Taking a back seat,unknown,"""men's, youths', boys' and children's' clothing""",Advertising Ephemera Collection,"Sports', 'Clothing",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4f47jn1r,people roller skating,,Western Maryland Clothing House
Talked to Death,Talked to Death,unknown,"Books, Magazines, etc.",Advertising Ephemera Collection,Books and Publishing,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4fb4zd20,,,William Simpson
Telegram,,unknown,Genuine Bull Durham Tobacco,Tobacco Advertising,Telegram,,,advertisements,https://idn.duke.edu/ark:/87924/r4mc8t75z,"Telegram to the retailer describing ""Cork"" Soap giveaway with each pound of Bull Durham tobacco purchased.",,W. T. Blackwell
Ten Days' Test Medicines and Full Diagnosis of Your Case FREE. Test Medicines and Full Diagnosis of Your Case Free...,Ten Days' Test Medicines and Full Diagnosis of Your Case FREE. Test Medicines and Full Diagnosis of Your Case Free...,unknown,Compound Inhaler,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4zc7tj28,"product will help consumption, catarrh, bronchitis, asthma, etc",,DR. T. W. Graydon
"The ""Continental"" Rear Cut Mower","The ""Continental"" Rear Cut Mower",unknown,"""Continental"" Rear Cut Mower No. 5",Advertising Ephemera Collection,Farm Machinery,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r41r6pq0x,missing covers and several pages. includes images of various international sights (ex. Mont Blanc).,,Johnston Harvester Co.
"The ""Germproof"" Glass Telephone Mouthpiece","The ""Germproof"" Glass Telephone Mouthpiece",unknown,"""Germproof"" Glass Telephone Mouthpiece",Advertising Ephemera Collection,Household Appliances,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4c826427,,,American Electric Co.
"The ""Standard"" Desk","The ""Standard"" Desk",unknown,School Desks,Advertising Ephemera Collection,Education,,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4s17vg6q,includes dimensions of desks.  images selected from whole book.,,Standard School Desk Mfg. Co.
The Allen Fountain Brush and Bath Appliances for Scientific Bathing,The Allen Fountain Brush and Bath Appliances for Scientific Bathing,unknown,Allen Fountain Brush,Advertising Ephemera Collection,"Price List', 'Household Appliances",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4xd0sp6z,,,Allen Mfg. Co.
The Art Store of the Redwood Perfume and Chemical Co.,The Art Store of the Redwood Perfume and Chemical Co.,unknown,Redwood Perfume,Advertising Ephemera Collection,"Price List', 'Toiletries",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r45h7dh42,,,Redwood Perfume & Chemical Co.
The Automobile Liability Policy...The Log Book of a Motor Car,The Automobile Liability Policy...The Log Book of a Motor Car,unknown,Insurance (Liability Policies of Aetna),Advertising Ephemera Collection,Autos and Roads,,,advertisements,https://idn.duke.edu/ark:/87924/r41835v0j,"agents in Greensboro and High Point, NC",,Aetna
"The Bank of China Grove, China Grove, N.C.","The Bank of China Grove, China Grove, N.C.",unknown,Banks and banking,Advertising Ephemera Collection,Banking and Financial,,,advertisements,https://idn.duke.edu/ark:/87924/r4zp3xq87,,,Bank of China Grove
The Breakfast Bell,The Breakfast Bell,unknown,Cream of Wheat,"J. Walter Thompson Company ""House Ads"" (1899-1925)",African/African-American,JWT Ad Portfolio,other,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4kk9641c,,,"J. Walter Thompson Company', 'Cream of Wheat"
The Brown Gin: Convincing Facts,The Brown Gin: Convincing Facts,unknown,cotton gins,Advertising Ephemera Collection,Farm Machinery,,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4fj2c28p,,,Brown Cotton Gin Co.
The Christian Morlein Brewing Co.,The Christian Morlein Brewing Co.,unknown,Liquors,Advertising Ephemera Collection,"Liquor, Wines and Spirits",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4qb9ww2t,,,Christian Morlein Brewing Company
The Confederate Souvenir,The Confederate Souvenir,unknown,"""Taylor's Cherokee Remedy""",Advertising Ephemera Collection,"Military', 'Health and Patent Medicines",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4br8p53r,,,Haltiwanger-Taylor Drug Co.
The Diadem,,unknown,Tobacco,Tobacco Advertising,"Tobacco, Misc.",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r40z72m3q,image is of a woman dressed for battle.,,T. C. Williams
The Electric Era,The Electric Era,unknown,Electric Remedies,Advertising Ephemera Collection,Health and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r41n8095d,also includes an advertisement for agents.  selected pages from booklet.,,German Electric Agency
"The Famous ""Vienna"" Coffee Maker","The Famous ""Vienna"" Coffee Maker",unknown,"Famous ""Vienna"" Coffee Maker",Advertising Ephemera Collection,Household Appliances,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4g15w11b,,,J. H. Baldwin & Co.
The Famous Specific Orange Blossom: A Positive Cure for all Female Diseases,The Famous Specific Orange Blossom: A Positive Cure for all Female Diseases,unknown,Orange Blossom,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4rx9535f,,,J. A. McGill M.D. & Co.
The Forwood Shoe Co.,The Forwood Shoe Co.,unknown,shoes and rubbers,Advertising Ephemera Collection,Boots and Shoes,,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4m32q40x,card with space for name and time salesman will call regarding shoes.,,Forwood Shoe Co.
The Genuine Boyd's Porcelain Lined Caps For Mason's Jars,The Genuine Boyd's Porcelain Lined Caps For Mason's Jars,unknown,,Broadsides Collection,Housewares,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bv7ck4j,,,Consolidated Fruit Jar Co.
The Grand Prize,The Grand Prize,unknown,Cut glass,"J. Walter Thompson Company ""House Ads"" (1899-1925)",Premiums,JWT Ad Portfolio,other,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r49c6tr6m,,,"J. Walter Thompson Company', 'Libbey Glass Company"
"The Great  Morey Remedy The Only Absolute, Speedy and Permanent Cure  for Drunkenness","The Great  Morey Remedy The Only Absolute, Speedy and Permanent Cure  for Drunkenness",unknown,Remedy Powder/Pill,Advertising Ephemera Collection,Health and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r4gt5h520,,,Hart Drug Company
The Great Fertilizer for Tobacco ...,The Great Fertilizer for Tobacco ...,unknown,"Tobacco Manure - ""Star Brand"" Special",Advertising Ephemera Collection,Fertilizers,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4wd3rr0c,,,Allison & Addison Manufacturers
The Great St. Jacobs Oil Puzzle,The Great St. Jacobs Oil Puzzle,unknown,St. Jacobs Oil,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4d21t798,there is a puzzle on the front of the ad,,St. Jacobs Oil
The Health and Happiness of Woman,The Health and Happiness of Woman,unknown,pills,Advertising Ephemera Collection,Health and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r4qb9wx47,black background used intentionally,,Specific Medicine Company
"The Hearthstone, or Life at Home, A Household Manual","The Hearthstone, or Life at Home, A Household Manual",unknown,The Hearthstone Book,Advertising Ephemera Collection,"Children', 'Price List', 'Books and Publishing",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4m32q17z,book written by Laura C. Holloway,,B. F. Johnson & Co.
The Hot Springs,The Hot Springs,unknown,,Broadsides Collection,"Price List', 'Health Resorts",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r43r0rj39,,,S. C. Tardy & Co.
The Hunters Three and ONT,The Hunters Three and ONT,unknown,spool cotton,Advertising Ephemera Collection,"Sewing Equipment and Supplies', 'African/African-American', 'Asian', 'Native American",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r46m34s9k,"Tells story of 3 hunters who meet up with ""Children, Zulus, Chinaman, Eskimo and Indian.""",,"""Clark's O.N.T. Spool Cotton"""
The Improved Boston Garter,The Improved Boston Garter,unknown,Garters,"J. Walter Thompson Company ""House Ads"" (1899-1925)",,JWT Ad Portfolio,other,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4639mv6x,,,"J. Walter Thompson Company', 'Geo. Frost Co."
The Improved Walsh Double Turbine Water-Wheel.,The Improved Walsh Double Turbine Water-Wheel.,unknown,,Broadsides Collection,Machinery and Tools,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r43777j61,,,S. N. Nesbitt & Bro.
The International Walk-over Shoe for Men,The International Walk-over Shoe for Men,unknown,Shoes,Advertising Ephemera Collection,Boots and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4mg7hk5c,,,T. J. Lambe Sons & Co.
The Lady and the Dog,The Lady and the Dog,unknown,corsets,Advertising Ephemera Collection,Clothing,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4765c46f,,,"""Thomson's Glovefitting"""
"The Leading Flour: We Lead, Others Follow","The Leading Flour: We Lead, Others Follow",unknown,Gold Medal Flour,Advertising Ephemera Collection,"Children', 'Food",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4kd1s90d,"""Insist on getting your money\'s worth by refusing all imitations at any price."" Don\'t get counterfeits, get Gold Medal flour.",,Washburn Crosby Co.
The Lehigh Emery Wheels,The Lehigh Emery Wheels,unknown,Lehigh Emery Wheels,Advertising Ephemera Collection,"Price List', 'Machinery and Instruments",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r43f4nb48,wheels are divided into five classes: A-E,,Lehigh Valley Emery Wheel Co.
The Life of our Blessed Lord and Saviour Jesus Christ,The Life of our Blessed Lord and Saviour Jesus Christ,unknown,"""Fleetwood's Life of Christ""",Advertising Ephemera Collection,"Price List', 'Books and Publishing",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4833pp5c,image in the back is an engraving that shows the actual size of the book.,,"Bradley, Garretson & Co."
The Long Lost Friend,The Long Lost Friend,unknown,The Long Lost Friend,Advertising Ephemera Collection,Books and Publishing,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4x923772,advertised as being printed in both English and German.,,Gem Novelty Co.
The Marvellous Euphonia,The Marvellous Euphonia,unknown,Musical Instrument (Automatic),Advertising Ephemera Collection,"Children', 'Musical Instruments",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k06zs5x,,,American Automatic Organ Co.
The Meyers Combination Luggage Carrier Stand,The Meyers Combination Luggage Carrier Stand,unknown,Combination Luggage Carrier Stand,Advertising Ephemera Collection,Bicycles,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r44m9319z,,,Walthour & Hood Co.
"The Mikado, Pooh-Bah, Yum-Yum, Katisha","The Mikado, Pooh-Bah, Yum-Yum, Katisha",unknown,Best Six Cord,Advertising Ephemera Collection,Sewing Equipment and Supplies,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r47s7kj6x,Caucasians dressed in Japanese apparel (e.g. Kimonos).  card set of 6 with 2 duplicates,,"""J. & P. Coats' Thread"""
The Most Thrilling Work Of The War!  Raids And Romance Of Morgan And His Men; By Mrs. Sally Rochester Ford.,The Most Thrilling Work Of The War!  Raids And Romance Of Morgan And His Men; By Mrs. Sally Rochester Ford.,unknown,,Broadsides Collection,"Military', 'Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4z89450t,,,"C. B. Richardson, Publisher"
The Mysterious Diamond Eye Imp,The Mysterious Diamond Eye Imp,unknown,dyes,Advertising Ephemera Collection,Clothing,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4n011k3t,"stamped: with compliments of L. Richardson Drug Co., Greensboro, NC. includes parlor trick",,Richardson & Co.
The New Model Crandall Typewriter,The New Model Crandall Typewriter,unknown,Typewriters - Crandall,Advertising Ephemera Collection,Office Products,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r46q1v84d,,,Salem Iron Works
The New Rambler,The New Rambler,unknown,Model Fifty-Five,Advertising Ephemera Collection,Autos and Roads,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4c53gq7x,provides specs for the automobile.,,Thomas B. Jeffery & Company
The New Simplified Rules for Self-Measurement,The New Simplified Rules for Self-Measurement,unknown,Wanamaker & Brown,Advertising Ephemera Collection,Clothing,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r42n51753,,,Wanamaker & Brown
The Nosegay,,unknown,unknown,Tobacco Advertising,"Tobacco, Misc.",,,"advertisements', 'color lithography",https://idn.duke.edu/ark:/87924/r4m903t2q,,,T. C. Williams
The Old Mill and the New,The Old Mill and the New,unknown,"""Huyler's Candies""",Advertising Ephemera Collection,Mercantile Business,,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r49c6tr8k,includes drawing of old and new mills,,Carpenter Bros. Pharmacists
The Parker Remedy for Men,The Parker Remedy for Men,unknown,Parker Remedy,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4rn31x3j,"remedy for lack of vigor, loss of energy, and weakened nervous system",,Mrs. H. C. Parker
The Royal: Most Up-To-Date Cafֳƒֲ©,The Royal: Most Up-To-Date Cafּ©,unknown,Royal Cafֳƒֲ©,Advertising Ephemera Collection,"Price List', 'Autos and Roads",,,advertisements,https://idn.duke.edu/ark:/87924/r4vt1jg7r,includes information on autos to Chapel Hill as well as railroad schedules.,,Royal Cafֳƒֲ©
"The Safest and Most Pleasant Preparation of Opium; Chemists Cocalac, Nourishing. Vitalizing.","The Safest and Most Pleasant Preparation of Opium; Chemists Cocalac, Nourishing. Vitalizing.",unknown,Papine and Cocalac,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r42806p0w,A booklet with twin binding where the two products are facing opposite directions; a booklet of testimonials,,Battle & Co.
The Seal of Public Approval,The Seal of Public Approval,unknown,Insurance,"J. Walter Thompson Company ""House Ads"" (1899-1925)",,JWT Ad Portfolio,other,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cr5q41x,,,"J. Walter Thompson Company', 'The Prudential Insurance Company of America"
The Smallest Man in the South,The Smallest Man in the South,unknown,Shoes,Advertising Ephemera Collection,Boots and Shoes,,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r43x85b1c,"postcard includes photo of Col. A.L. Sawyer, of Key West.",,Craddock-Terry Co.
"The Teacher Says: ""When you want Candy always be sure to ask for CORONA""","The Teacher Says: ""When you want Candy always be sure to ask for CORONA""",unknown,Corona Candy,Advertising Ephemera Collection,"Children', 'Food', 'Asian",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4416vq8j,candy made in the Philippines.,,Pacific Commercial Co.
The Teachers Co-operative Association,The Teachers Co-operative Association,unknown,employment,Advertising Ephemera Collection,Education,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4w66bz9h,,,Teachers Co-operative Association
The Terrors of America and Their Doings - Image 1,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor', 'Americana",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4j09xt7r,Scenes of male children doing various activities,,W. Duke Sons & Co.
The Terrors of America and Their Doings - Image 2,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor', 'Americana",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4xw49p8g,Scenes of male children doing various activities,,W. Duke Sons & Co.
The Terrors of America and Their Doings - Image 3,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor', 'Americana",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r40g3jq3h,Scenes of male children doing various activities,,W. Duke Sons & Co.
The Terrors of America and Their Doings - Image 4,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor', 'Americana",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r45t3hr41,Scenes of male children doing various activities,,W. Duke Sons & Co.
The Terrors of America and Their Doings - Image 5,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor', 'Americana",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4d21t779,Scenes of male children doing various activities,,W. Duke Sons & Co.
The Terrors of America and Their Doings - Image 6,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor', 'Americana",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4dv1fc7g,Scenes of male children doing various activities,,W. Duke Sons & Co.
The Terrors of America and Their Doings - Image 7,,unknown,"""Duke's Cigarettes""",Tobacco Advertising,"Children', 'Sports', 'Humor",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4fx75q7x,Representative back of all the other cards in this set. It lists the titles of all the cards in the set,,W. Duke Sons & Co.
The Thomas Harrow Company  Manufacturers And Dealers In Scales,The Thomas Harrow Company  Manufacturers And Dealers In Scales,unknown,scales,Advertising Ephemera Collection,"Price List', 'Farm Machinery",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4ff3nq1g,,,Thomas Harrow Co.
The Three Leaders,The Three Leaders,unknown,"""Swan's Down Flour, Diadem and Southern Beauty Flour""",Advertising Ephemera Collection,Food,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4gh9cz8z,,,Inglehart Brothers
The Tie That Will Bind Your Pupils To The Sunday School Is The Birthday Remembrance Plan.,The Tie That Will Bind Your Pupils To The Sunday School Is The Birthday Remembrance Plan.,unknown,,Broadsides Collection,"Children', 'Greeting Cards",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r41g0kk39,"list of available cards, divided by age group.",,Smith & Lamar
The Tiger,,unknown,Rake,Tobacco Advertising,Technology,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4445k32x,Farm Equipment,,J. W. Stoddard & Co.
The Wife's Protector,The Wife's Protector,unknown,French Rubber Caps,Advertising Ephemera Collection,Health and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r4q23sr4q,advertisement for contraceptives.,,Protector
The fine old family doctor of 1846,The fine old family doctor of 1846,unknown,"""Pond's Extract""","""Pond's""",,unknown,newspapers,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4df6mt6n,,,"""Pond's Extract Co."""
The long way round,The long way round,unknown,Advertising,"J. Walter Thompson Company ""House Ads"" (1899-1925)",,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4s46jw23,,,J. Walter Thompson Company
